date,训练集_样本数,验证集_样本数,测试集_样本数
2024-07-09,298.0,0.0,0.0
2024-07-10,298.0,0.0,0.0
2024-07-11,297.0,0.0,0.0
2024-07-12,297.0,0.0,0.0
2024-07-15,297.0,0.0,0.0
2024-07-16,297.0,0.0,0.0
2024-07-17,297.0,0.0,0.0
2024-07-18,297.0,0.0,0.0
2024-07-19,297.0,0.0,0.0
2024-07-22,297.0,0.0,0.0
2024-07-23,297.0,0.0,0.0
2024-07-24,297.0,0.0,0.0
2024-07-25,297.0,0.0,0.0
2024-07-26,297.0,0.0,0.0
2024-07-29,297.0,0.0,0.0
2024-07-30,297.0,0.0,0.0
2024-07-31,297.0,0.0,0.0
2024-08-01,297.0,0.0,0.0
2024-08-02,297.0,0.0,0.0
2024-08-05,297.0,0.0,0.0
2024-08-06,297.0,0.0,0.0
2024-08-07,297.0,0.0,0.0
2024-08-08,297.0,0.0,0.0
2024-08-09,297.0,0.0,0.0
2024-08-12,297.0,0.0,0.0
2024-08-13,297.0,0.0,0.0
2024-08-14,297.0,0.0,0.0
2024-08-15,297.0,0.0,0.0
2024-08-16,297.0,0.0,0.0
2024-08-19,297.0,0.0,0.0
2024-08-20,297.0,0.0,0.0
2024-08-21,297.0,0.0,0.0
2024-08-22,296.0,0.0,0.0
2024-08-23,296.0,0.0,0.0
2024-08-26,296.0,0.0,0.0
2024-08-27,296.0,0.0,0.0
2024-08-28,296.0,0.0,0.0
2024-08-29,296.0,0.0,0.0
2024-08-30,296.0,0.0,0.0
2024-09-02,296.0,0.0,0.0
2024-09-03,295.0,0.0,0.0
2024-09-04,295.0,0.0,0.0
2024-09-05,296.0,0.0,0.0
2024-09-06,294.0,0.0,0.0
2024-09-09,294.0,0.0,0.0
2024-09-10,294.0,0.0,0.0
2024-09-11,294.0,0.0,0.0
2024-09-12,294.0,0.0,0.0
2024-09-13,294.0,0.0,0.0
2024-09-18,294.0,0.0,0.0
2024-09-19,295.0,0.0,0.0
2024-09-20,295.0,0.0,0.0
2024-09-23,295.0,0.0,0.0
2024-09-24,295.0,0.0,0.0
2024-09-25,295.0,0.0,0.0
2024-09-26,295.0,0.0,0.0
2024-09-27,295.0,0.0,0.0
2024-09-30,295.0,0.0,0.0
2024-10-08,295.0,0.0,0.0
2024-10-09,295.0,0.0,0.0
2024-10-10,297.0,0.0,0.0
2024-10-11,297.0,0.0,0.0
2024-10-14,297.0,0.0,0.0
2024-10-15,297.0,0.0,0.0
2024-10-16,297.0,0.0,0.0
2024-10-17,297.0,0.0,0.0
2024-10-18,297.0,0.0,0.0
2024-10-21,297.0,0.0,0.0
2024-10-22,297.0,0.0,0.0
2024-10-23,297.0,0.0,0.0
2024-10-24,297.0,0.0,0.0
2024-10-25,297.0,0.0,0.0
2024-10-28,296.0,0.0,0.0
2024-10-29,296.0,0.0,0.0
2024-10-30,296.0,0.0,0.0
2024-10-31,296.0,0.0,0.0
2024-11-01,296.0,0.0,0.0
2024-11-04,296.0,0.0,0.0
2024-11-05,296.0,0.0,0.0
2024-11-06,296.0,0.0,0.0
2024-11-07,295.0,0.0,0.0
2024-11-08,296.0,0.0,0.0
2024-11-11,297.0,0.0,0.0
2024-11-12,297.0,0.0,0.0
2024-11-13,297.0,0.0,0.0
2024-11-14,297.0,0.0,0.0
2024-11-15,297.0,0.0,0.0
2024-11-18,297.0,0.0,0.0
2024-11-19,297.0,0.0,0.0
2024-11-20,297.0,0.0,0.0
2024-11-21,297.0,0.0,0.0
2024-11-22,297.0,0.0,0.0
2024-11-25,297.0,0.0,0.0
2024-11-26,297.0,0.0,0.0
2024-11-27,297.0,0.0,0.0
2024-11-28,297.0,0.0,0.0
2024-11-29,297.0,0.0,0.0
2024-12-02,297.0,0.0,0.0
2024-12-03,297.0,0.0,0.0
2024-12-04,297.0,0.0,0.0
2024-12-05,297.0,0.0,0.0
2024-12-06,297.0,0.0,0.0
2024-12-09,297.0,0.0,0.0
2024-12-10,297.0,0.0,0.0
2024-12-11,297.0,0.0,0.0
2024-12-12,297.0,0.0,0.0
2024-12-13,297.0,0.0,0.0
2024-12-16,297.0,0.0,0.0
2024-12-17,297.0,0.0,0.0
2024-12-18,297.0,0.0,0.0
2024-12-19,297.0,0.0,0.0
2024-12-20,297.0,0.0,0.0
2024-12-23,297.0,0.0,0.0
2024-12-24,297.0,0.0,0.0
2024-12-25,297.0,0.0,0.0
2024-12-26,297.0,0.0,0.0
2024-12-27,297.0,0.0,0.0
2024-12-30,297.0,0.0,0.0
2024-12-31,297.0,0.0,0.0
2025-01-02,297.0,0.0,0.0
2025-01-03,297.0,0.0,0.0
2025-01-06,296.0,0.0,0.0
2025-01-07,296.0,0.0,0.0
2025-01-08,296.0,0.0,0.0
2025-01-09,296.0,0.0,0.0
2025-01-10,296.0,0.0,0.0
2025-01-13,296.0,0.0,0.0
2025-01-14,296.0,0.0,0.0
2025-01-15,296.0,0.0,0.0
2025-01-16,297.0,0.0,0.0
2025-01-17,297.0,0.0,0.0
2025-01-20,297.0,0.0,0.0
2025-01-21,297.0,0.0,0.0
2025-01-22,296.0,0.0,0.0
2025-01-23,296.0,0.0,0.0
2025-01-24,296.0,0.0,0.0
2025-01-27,296.0,0.0,0.0
2025-02-05,296.0,0.0,0.0
2025-02-06,295.0,0.0,0.0
2025-02-07,295.0,0.0,0.0
2025-02-10,296.0,0.0,0.0
2025-02-11,296.0,0.0,0.0
2025-02-12,296.0,0.0,0.0
2025-02-13,296.0,0.0,0.0
2025-02-14,296.0,0.0,0.0
2025-02-17,296.0,0.0,0.0
2025-02-18,296.0,0.0,0.0
2025-02-19,296.0,0.0,0.0
2025-02-20,296.0,0.0,0.0
2025-02-21,296.0,0.0,0.0
2025-02-24,296.0,0.0,0.0
2025-02-25,296.0,0.0,0.0
2025-02-26,296.0,0.0,0.0
2025-02-27,296.0,0.0,0.0
2025-02-28,296.0,0.0,0.0
2025-03-03,296.0,0.0,0.0
2025-03-04,296.0,0.0,0.0
2025-03-05,296.0,0.0,0.0
2025-03-06,296.0,0.0,0.0
2025-03-07,296.0,0.0,0.0
2025-03-10,296.0,0.0,0.0
2025-03-11,296.0,0.0,0.0
2025-03-12,296.0,0.0,0.0
2025-03-13,296.0,0.0,0.0
2025-03-14,296.0,0.0,0.0
2025-03-17,296.0,0.0,0.0
2025-03-18,296.0,0.0,0.0
2025-03-19,296.0,0.0,0.0
2025-03-20,296.0,0.0,0.0
2025-03-21,296.0,0.0,0.0
2025-03-24,296.0,0.0,0.0
2025-03-25,296.0,0.0,0.0
2025-03-26,295.0,0.0,0.0
2025-03-27,295.0,0.0,0.0
2025-03-28,295.0,0.0,0.0
2025-03-31,295.0,0.0,0.0
2025-04-01,294.0,0.0,0.0
2025-04-02,294.0,0.0,0.0
2025-04-03,294.0,0.0,0.0
2025-04-07,294.0,0.0,0.0
2025-04-08,294.0,0.0,0.0
2025-04-09,294.0,0.0,0.0
2025-04-10,294.0,0.0,0.0
2025-04-11,294.0,0.0,0.0
2025-04-14,294.0,0.0,0.0
2025-04-15,294.0,0.0,0.0
2025-04-16,295.0,0.0,0.0
2025-04-17,295.0,0.0,0.0
2025-04-18,295.0,0.0,0.0
2025-04-21,295.0,0.0,0.0
2025-04-22,294.0,0.0,0.0
2025-04-23,294.0,0.0,0.0
2025-04-24,294.0,0.0,0.0
2025-04-25,295.0,0.0,0.0
2025-04-28,295.0,0.0,0.0
2025-04-29,295.0,0.0,0.0
2025-04-30,295.0,0.0,0.0
2025-05-06,294.0,0.0,0.0
2025-05-07,294.0,0.0,0.0
2025-05-08,294.0,0.0,0.0
2025-05-09,294.0,0.0,0.0
2025-05-12,294.0,0.0,0.0
2025-05-13,294.0,0.0,0.0
2025-05-14,294.0,0.0,0.0
2025-05-15,294.0,0.0,0.0
2025-05-16,294.0,0.0,0.0
2025-05-19,294.0,0.0,0.0
2025-05-20,294.0,0.0,0.0
2025-05-21,294.0,0.0,0.0
2025-05-22,294.0,0.0,0.0
2025-05-23,294.0,0.0,0.0
2025-05-26,294.0,0.0,0.0
2025-05-27,294.0,0.0,0.0
2025-05-28,294.0,0.0,0.0
2025-05-29,294.0,0.0,0.0
2025-05-30,294.0,0.0,0.0
2025-06-03,294.0,0.0,0.0
2025-06-04,294.0,0.0,0.0
2025-06-05,294.0,0.0,0.0
2025-06-06,294.0,0.0,0.0
2025-06-09,294.0,0.0,0.0
2025-06-10,294.0,0.0,0.0
2025-06-11,294.0,0.0,0.0
2025-06-12,294.0,0.0,0.0
2025-06-13,294.0,0.0,0.0
2025-06-16,294.0,0.0,0.0
2025-06-17,294.0,0.0,0.0
2025-06-18,294.0,0.0,0.0
2025-06-19,294.0,0.0,0.0
2025-06-20,294.0,0.0,0.0
2025-06-23,0.0,294.0,0.0
2025-06-24,0.0,294.0,0.0
2025-06-25,0.0,294.0,0.0
2025-06-26,0.0,294.0,0.0
2025-06-27,0.0,294.0,0.0
2025-06-30,0.0,294.0,0.0
2025-07-01,0.0,294.0,0.0
2025-07-02,0.0,294.0,0.0
2025-07-03,0.0,294.0,0.0
2025-07-04,0.0,294.0,0.0
2025-07-07,0.0,294.0,0.0
2025-07-08,0.0,295.0,0.0
2025-07-09,0.0,295.0,0.0
2025-07-10,0.0,295.0,0.0
2025-07-11,0.0,295.0,0.0
2025-07-14,0.0,295.0,0.0
2025-07-15,0.0,295.0,0.0
2025-07-16,0.0,295.0,0.0
2025-07-17,0.0,295.0,0.0
2025-07-18,0.0,295.0,0.0
2025-07-21,0.0,295.0,0.0
2025-07-22,0.0,295.0,0.0
2025-07-23,0.0,295.0,0.0
2025-07-24,0.0,295.0,0.0
2025-07-25,0.0,295.0,0.0
2025-07-28,0.0,295.0,0.0
2025-07-29,0.0,295.0,0.0
2025-07-30,0.0,294.0,0.0
2025-07-31,0.0,294.0,0.0
2025-08-01,0.0,294.0,0.0
2025-08-04,0.0,293.0,0.0
2025-08-05,0.0,292.0,0.0
2025-08-06,0.0,292.0,0.0
2025-08-07,0.0,292.0,0.0
2025-08-08,0.0,292.0,0.0
2025-08-11,0.0,292.0,0.0
2025-08-12,0.0,292.0,0.0
2025-08-13,0.0,292.0,0.0
2025-08-14,0.0,292.0,0.0
2025-08-15,0.0,292.0,0.0
2025-08-18,0.0,293.0,0.0
2025-08-19,0.0,294.0,0.0
2025-08-20,0.0,294.0,0.0
2025-08-21,0.0,294.0,0.0
2025-08-22,0.0,294.0,0.0
2025-08-25,0.0,294.0,0.0
2025-08-26,0.0,294.0,0.0
2025-08-27,0.0,294.0,0.0
2025-08-28,0.0,294.0,0.0
2025-08-29,0.0,294.0,0.0
2025-09-01,0.0,294.0,0.0
2025-09-02,0.0,294.0,0.0
2025-09-03,0.0,294.0,0.0
2025-09-04,0.0,294.0,0.0
2025-09-05,0.0,294.0,0.0
2025-09-08,0.0,294.0,0.0
2025-09-09,0.0,294.0,0.0
2025-09-10,0.0,294.0,0.0
2025-09-11,0.0,293.0,0.0
2025-09-12,0.0,294.0,0.0
2025-09-15,0.0,294.0,0.0
2025-09-16,0.0,294.0,0.0
2025-09-17,0.0,294.0,0.0
2025-09-18,0.0,0.0,294.0
2025-09-19,0.0,0.0,294.0
2025-09-22,0.0,0.0,294.0
2025-09-23,0.0,0.0,294.0
2025-09-24,0.0,0.0,294.0
2025-09-25,0.0,0.0,294.0
2025-09-26,0.0,0.0,294.0
2025-09-29,0.0,0.0,294.0
2025-09-30,0.0,0.0,294.0
2025-10-09,0.0,0.0,293.0
2025-10-10,0.0,0.0,293.0
2025-10-13,0.0,0.0,294.0
2025-10-14,0.0,0.0,294.0
2025-10-15,0.0,0.0,294.0
2025-10-16,0.0,0.0,294.0
2025-10-17,0.0,0.0,294.0
2025-10-20,0.0,0.0,294.0
2025-10-21,0.0,0.0,294.0
2025-10-22,0.0,0.0,294.0
2025-10-23,0.0,0.0,294.0
2025-10-24,0.0,0.0,294.0
2025-10-27,0.0,0.0,294.0
2025-10-28,0.0,0.0,294.0
2025-10-29,0.0,0.0,294.0
2025-10-30,0.0,0.0,294.0
2025-10-31,0.0,0.0,294.0
2025-11-03,0.0,0.0,294.0
2025-11-04,0.0,0.0,294.0
2025-11-05,0.0,0.0,294.0
2025-11-06,0.0,0.0,294.0
2025-11-07,0.0,0.0,294.0
2025-11-10,0.0,0.0,294.0
2025-11-11,0.0,0.0,293.0
2025-11-12,0.0,0.0,294.0
2025-11-13,0.0,0.0,294.0
2025-11-14,0.0,0.0,294.0
2025-11-17,0.0,0.0,294.0
2025-11-18,0.0,0.0,294.0
2025-11-19,0.0,0.0,294.0
2025-11-20,0.0,0.0,293.0
2025-11-21,0.0,0.0,293.0
2025-11-24,0.0,0.0,293.0
2025-11-25,0.0,0.0,293.0
2025-11-26,0.0,0.0,293.0
2025-11-27,0.0,0.0,293.0
2025-11-28,0.0,0.0,293.0
2025-12-01,0.0,0.0,292.0
2025-12-02,0.0,0.0,292.0
2025-12-03,0.0,0.0,292.0
2025-12-04,0.0,0.0,292.0
2025-12-05,0.0,0.0,292.0
2025-12-08,0.0,0.0,292.0
2025-12-09,0.0,0.0,292.0
2025-12-10,0.0,0.0,292.0
2025-12-11,0.0,0.0,292.0
2025-12-12,0.0,0.0,292.0
2025-12-15,0.0,0.0,293.0
2025-12-16,0.0,0.0,293.0
2025-12-17,0.0,0.0,293.0
2025-12-18,0.0,0.0,294.0
2025-12-19,0.0,0.0,294.0
2025-12-22,0.0,0.0,294.0
2025-12-23,0.0,0.0,294.0
2025-12-24,0.0,0.0,294.0
